,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
0,Switzerland,Western Europe,1,7.587,-3.426887565515811,0.534874832301186,-0.7972768911430475,2
1,Iceland,Western Europe,2,7.561,-2.7520296436414196,0.10562021679788683,-1.0064448497858272,2
2,Denmark,Western Europe,3,7.527,-3.4169264939256805,1.072710144793354,-0.9103334882860096,2
3,Norway,Western Europe,4,7.522,-3.2901434927468505,0.6584599872549982,-0.7319044025522119,2
4,Canada,North America,5,7.427,-3.1035023502302517,1.1114603136687202,-0.7526079476614368,2
5,Finland,Western Europe,6,7.406,-2.9795440015264942,0.24384103986526892,-0.9779049509845809,2
6,Netherlands,Western Europe,7,7.378,-2.95853314276837,1.1623977975958877,-0.752821405632031,2
7,Sweden,Western Europe,8,7.364,-3.2992775497131768,1.132494317847157,-0.6530103485528868,2
8,New Zealand,Australia and New Zealand,9,7.286,-3.3076267354642854,1.7215886120592525,-0.570346634942487,2
9,Australia,Australia and New Zealand,10,7.284,-3.2174186502801825,1.2142884255735584,-0.4458665539486552,2
10,Israel,Middle East and Northern Africa,11,7.278,-1.4114164803001212,-1.102659577231992,-1.2168949127206286,4
11,Costa Rica,Latin America and Caribbean,12,7.226,-1.585370801402968,-0.6918917260178257,-1.8660171449588117,4
12,Austria,Western Europe,13,7.2,-2.4595617771255456,-0.06820418064759824,-0.6882890675928528,2
13,Mexico,Latin America and Caribbean,14,7.187,-0.7893354734616014,-1.2009505573541641,-2.248878282142361,4
14,United States,North America,15,7.119,-2.1919190557841337,0.05201599452968251,-0.5435785887849677,2
15,Brazil,Latin America and Caribbean,16,6.983,-0.9390298125690595,-1.2257332946322832,-1.8972037242194522,4
16,Luxembourg,Western Europe,17,6.946,-3.0487792489524304,0.4964869979458301,0.3225266211949618,2
17,Ireland,Western Europe,18,6.94,-2.9725137934635173,1.1567236624327393,0.06590799597120466,2
18,Belgium,Western Europe,19,6.937,-2.2507601491431757,-0.48069017065790115,-0.38946791804221226,2
19,United Arab Emirates,Middle East and Northern Africa,20,6.901,-2.60555153806763,0.6423269851756632,-0.32046088674422435,2
20,United Kingdom,Western Europe,21,6.867,-2.8885054956152527,1.6448817207561615,0.04396341646012823,2
21,Oman,Middle East and Northern Africa,22,6.853,-2.12028261699582,0.17360546006475047,-0.6735252168142071,2
22,Venezuela,Latin America and Caribbean,23,6.81,-0.6258548292473232,-2.086264139737137,-1.5350034562028465,4
23,Singapore,Southeastern Asia,24,6.798,-3.0144892049974663,1.029644106277717,0.6102134932822435,2
24,Panama,Latin America and Caribbean,25,6.786,-1.1937733879055201,-0.8054873870313628,-1.1617915121425209,4
25,Germany,Western Europe,26,6.75,-2.4099376139611297,0.006839965151086561,0.022019754656452447,2
26,Chile,Latin America and Caribbean,27,6.67,-1.170803141353962,-0.3921625431613052,-0.7063588204256612,4
27,Qatar,Middle East and Northern Africa,28,6.611,-3.224657661986026,1.6540680500828124,0.8200317148441953,2
28,France,Western Europe,29,6.575,-1.9632028688010994,-1.0188989976319571,0.11974256675534259,4
29,Argentina,Latin America and Caribbean,30,6.574,-0.7861528024019503,-1.7174822317005183,-0.9312014576397072,4
30,Czech Republic,Central and Eastern Europe,31,6.505,-0.8378521185461947,-1.9605152577425824,-0.5140576024370603,4
31,Uruguay,Latin America and Caribbean,32,6.485,-1.7656282768796876,0.0743512980707513,-0.4750961938653083,4
