,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
0,Denmark,Western Europe,1,7.526,-3.4204769237243644,1.1801952291343827,0.954713599004583,3
1,Switzerland,Western Europe,2,7.509,-3.4572670814905786,0.5757069893691251,0.7515994332889884,3
2,Iceland,Western Europe,3,7.501,-2.8438953959135973,0.41130304329714434,0.6130287973796377,3
3,Norway,Western Europe,4,7.498,-3.325869418851929,0.9310954666423301,0.670640294174907,3
4,Finland,Western Europe,5,7.413,-3.1235899737256503,0.4895293528842779,1.054278727089681,3
5,Canada,North America,6,7.404,-3.067887343583196,1.09936435898241,0.6870677377181823,3
6,Netherlands,Western Europe,7,7.339,-2.877475973158566,1.1620098352275627,0.6486650475950805,3
7,New Zealand,Australia and New Zealand,8,7.334,-3.4614367328918405,1.8788673231710014,0.4816213871229411,3
8,Australia,Australia and New Zealand,9,7.313,-3.159081260273344,1.3007053733572942,0.40047018258875927,3
9,Sweden,Western Europe,10,7.291,-3.275451725790121,1.2560464798036497,0.5649235831577162,3
10,Israel,Middle East and Northern Africa,11,7.267,-1.5118621142554476,-1.1087939881627626,1.1037158222431995,1
11,Austria,Western Europe,12,7.119,-2.495635605602854,0.08914340408653754,0.49634938080962765,3
12,United States,North America,13,7.104,-2.185595644070755,0.07764625572474046,0.356165870430075,3
13,Costa Rica,Latin America and Caribbean,14,7.087,-1.5167066516430634,-0.8047757429830178,1.720180472486776,1
14,Puerto Rico,Latin America and Caribbean,15,7.039,-1.767819635067565,-1.0357735846619724,0.8479001805440729,1
15,Germany,Western Europe,16,6.994,-2.665373257008732,0.3163275022440295,0.2636711154066356,3
16,Brazil,Latin America and Caribbean,17,6.952,-0.8930453581053096,-1.289209428270077,1.8957879565476994,1
17,Belgium,Western Europe,18,6.929,-2.3853836960508388,-0.13953702159864192,0.39187143509337496,3
18,Ireland,Western Europe,19,6.907,-2.9879855260795845,1.1985084949410778,-0.3382065442393378,3
19,Luxembourg,Western Europe,20,6.871,-3.075614092186441,0.5215678375540197,-0.4309811537469991,3
20,Mexico,Latin America and Caribbean,21,6.778,-0.5700795773133025,-1.317444874874495,1.9744804965033216,1
21,Singapore,Southeastern Asia,22,6.739,-3.1372303425299637,1.1863536857357513,-0.586921827271636,3
22,United Kingdom,Western Europe,23,6.725,-2.6289534637819596,1.3816963236251798,-0.395503426273471,3
23,Chile,Latin America and Caribbean,24,6.705,-1.2003693618262132,-0.6257130402584096,0.6700015088466791,1
24,Panama,Latin America and Caribbean,25,6.701,-1.2157843406524071,-0.7712362519123022,0.9904912894262741,1
25,Argentina,Latin America and Caribbean,26,6.65,-0.9331980620105794,-1.6980335754308833,1.087994290248712,1
26,Czech Republic,Central and Eastern Europe,27,6.596,-1.0062766011811777,-1.9565949399640303,0.621058736209109,1
27,United Arab Emirates,Middle East and Northern Africa,28,6.573,-2.433345833956135,0.7957532278417127,-0.035383391844732257,3
28,Uruguay,Latin America and Caribbean,29,6.545,-1.7253048946707512,-0.28752860996359714,0.6828846027032645,1
29,Malta,Western Europe,30,6.488,-2.420580612250403,1.5620858667825839,-0.6723005620834676,3
30,Colombia,Latin America and Caribbean,31,6.481,-0.5700617549416787,-1.2827134319186113,1.3290222796361872,1
31,France,Western Europe,32,6.478,-1.762279801926761,-1.0597198467000033,-0.026931274085308755,1
32,Thailand,Southeastern Asia,33,6.474,-1.2703512498689429,1.0189051832803162,0.2727061948079405,3
33,Saudi Arabia,Middle East and Northern Africa,34,6.379,-1.2550462029589295,-0.3864780734632304,0.4198311362781333,1
34,Taiwan,Eastern Asia,34,6.379,-0.9924756583627218,-1.1714919720600718,-0.13877724379324008,1
35,Qatar,Middle East and Northern Africa,36,6.375,-3.0759699402116145,1.7516554660337667,-1.043862734581856,3
36,Spain,Western Europe,37,6.361,-1.4642663448232895,-1.5221254079730588,-0.5083139076654498,1
37,Algeria,Middle East and Northern Africa,38,6.355,0.10522265956453808,-1.881673523185445,1.4954059214919628,1
38,Guatemala,Latin America and Caribbean,39,6.324,-0.36207592207083183,-0.08537267499859624,1.6829304839435666,1
39,Suriname,Latin America and Caribbean,40,6.269,-0.459244405052743,-0.48762458315256246,1.4649682764541403,1
40,Kuwait,Middle East and Northern Africa,41,6.239,-1.4718456194681633,-0.46283993675499385,-0.25313921475090545,1
41,Bahrain,Middle East and Northern Africa,42,6.218,-1.6101654221089092,-0.16197429828613666,-0.1056249636393116,1
42,Trinidad and Tobago,Latin America and Caribbean,43,6.168,-0.7928108073266646,-0.3151561799817145,0.12192343027941052,1
43,Venezuela,Latin America and Caribbean,44,6.084,0.012858917616251957,-2.314154507787972,0.5472721112043835,2
44,Slovakia,Central and Eastern Europe,45,6.078,-0.4325332055551055,-2.0129322532566887,-0.2422881138144473,2
45,El Salvador,Latin America and Caribbean,46,6.068,0.12209694820926124,-1.3485037194843477,1.485153453976053,1
46,Malaysia,Southeastern Asia,47,6.005,-0.7767747546047477,0.3302754083901178,-0.21755709619359154,1
47,Nicaragua,Latin America and Caribbean,48,5.992,-0.5399797195670151,0.3297025993364785,1.0701340321785677,1
48,Uzbekistan,Central and Eastern Europe,49,5.987,-1.4821601903579227,1.5768486923484821,0.7107506958789742,3
49,Italy,Western Europe,50,5.977,-0.6194991984642585,-2.0502342318795637,-0.9162660037745899,2
50,Ecuador,Latin America and Caribbean,51,5.976,-0.5244512829846175,-0.890803428618522,0.7481390376147895,1
51,Belize,Latin America and Caribbean,52,5.956,0.08351134127047362,0.028100604197283014,1.6146353716214232,1
