,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
73,Indonesia,Southeastern Asia,74,5.399,1.86399,2.55328,0.98146,0
74,Vietnam,Southeastern Asia,75,5.36,2.20173,2.29118,0.8674499999999999,0
75,Turkey,Middle East and Northern Africa,76,5.332,2.08528,2.73902,0.50814,0
76,Kyrgyzstan,Central and Eastern Europe,77,5.286,2.2327,2.27631,0.77739,0
77,Nigeria,Sub-Saharan Africa,78,5.268,2.89319,1.71874,0.6559699999999999,4
78,Bhutan,Southern Asia,79,5.253,1.63794,2.4484399999999997,1.16649,0
79,Azerbaijan,Central and Eastern Europe,80,5.212,2.00073,2.60227,0.60894,0
80,Pakistan,Southern Asia,81,5.194,3.10709,1.5242,0.56237,4
81,Jordan,Middle East and Northern Africa,82,5.192,1.87996,2.65229,0.66007,0
82,Montenegro,Central and Eastern Europe,82,5.192,2.10017,2.60516,0.48696,0
83,China,Eastern Asia,84,5.14,1.8604,2.65345,0.62663,0
84,Zambia,Sub-Saharan Africa,85,5.129,2.6343,1.68574,0.80886,4
85,Romania,Central and Eastern Europe,86,5.124,1.93129,2.69823,0.49465,0
86,Serbia,Central and Eastern Europe,87,5.123,2.025,2.67853,0.41955,0
87,Portugal,Western Europe,88,5.102,1.26462,3.17445,0.66266,0
88,Latvia,Central and Eastern Europe,89,5.098,1.62215,2.93311,0.5422899999999999,0
89,Philippines,Southeastern Asia,90,5.073,1.7536,2.3216200000000002,0.9981499999999999,0
90,Somaliland region,Sub-Saharan Africa,91,5.057,2.11032,1.5787200000000001,1.36828,1
91,Morocco,Middle East and Northern Africa,92,5.013,2.45373,1.98528,0.57409,4
92,Macedonia,Central and Eastern Europe,93,5.007,1.73933,2.65628,0.6114299999999999,0
93,Mozambique,Sub-Saharan Africa,94,4.971,3.05137,1.20065,0.71909,4
94,Albania,Central and Eastern Europe,95,4.959,1.89894,2.49626,0.56418,0
95,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,2.06367,2.5422000000000002,0.3428,0
96,Lesotho,Sub-Saharan Africa,97,4.898,2.79832,1.4926,0.6065900000000001,4
97,Dominican Republic,Latin America and Caribbean,98,4.885,1.21305,2.73564,0.9359000000000001,0
98,Laos,Southeastern Asia,99,4.876,1.73799,1.87778,1.26032,1
99,Mongolia,Eastern Asia,100,4.874,1.34759,2.73147,0.79522,0
100,Swaziland,Sub-Saharan Africa,101,4.867,2.48676,1.86056,0.5197700000000001,4
101,Greece,Western Europe,102,4.857,1.80101,2.96552,0.09096,0
102,Lebanon,Middle East and Northern Africa,103,4.839,1.57059,2.66512,0.6035200000000001,0
103,Hungary,Central and Eastern Europe,104,4.8,1.24074,3.08214,0.4767,0
104,Honduras,Latin America and Caribbean,105,4.788,1.84408,2.2439,0.7,0
105,Tajikistan,Central and Eastern Europe,106,4.786,2.11399,1.81989,0.8526199999999999,1
106,Tunisia,Middle East and Northern Africa,107,4.739,2.12466,2.22335,0.39057,0
107,Palestinian Territories,Middle East and Northern Africa,108,4.715,2.04384,2.1844,0.48655000000000004,0
108,Bangladesh,Southern Asia,109,4.694,2.51767,1.43023,0.7461099999999999,4
109,Iran,Middle East and Northern Africa,110,4.686,1.6944,2.2513199999999998,0.7398199999999999,0
110,Ukraine,Central and Eastern Europe,111,4.681,1.5714,2.6757500000000003,0.43359000000000003,0
111,Iraq,Middle East and Northern Africa,112,4.677,1.95335,2.40675,0.3171,0
112,South Africa,Sub-Saharan Africa,113,4.642,1.71956,2.3820500000000004,0.54064,0
