,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
0,Finland,Western Europe,1,7.808700085,-3.132258452857345,1.1484589005934194,-1.3737267204473396,4
1,Denmark,Western Europe,2,7.645599842,-3.318382639652312,1.7681139364987362,-0.705174679147253,4
2,Switzerland,Western Europe,3,7.559899807,-3.1572090118456493,1.4381218613840538,-0.5353041552482946,4
3,Iceland,Western Europe,4,7.504499912,-2.5335541488942113,1.1128054698474086,-0.8506528888858973,4
4,Norway,Western Europe,5,7.487999916,-3.36904885537129,1.7589702041837239,-0.22588694422072603,4
5,Netherlands,Western Europe,6,7.448900223,-2.8117476307790272,1.8059424982714494,-0.4949351103608615,4
6,Sweden,Western Europe,7,7.353499889,-3.03937765808666,1.7564191415142614,-0.35737340048097765,4
7,New Zealand,North America and ANZ,8,7.299600124,-3.1236467976743993,2.201304180923077,-0.10260469072251586,4
8,Austria,Western Europe,9,7.294199944,-2.5067643045185974,0.8390791752077649,-0.6894163627784337,4
9,Luxembourg,Western Europe,10,7.237500191,-2.931166166057971,0.6747182678503763,-0.24053468302512265,4
10,Canada,North America and ANZ,11,7.23210001,-2.8354527122190825,1.4055023184916993,-0.3067372685585615,4
11,Australia,North America and ANZ,12,7.222799778,-2.8304948728561015,1.5627109088513573,-0.14522822999233945,4
12,United Kingdom,Western Europe,13,7.164500237,-2.360943051089109,1.6977441399883073,-0.2082330188783467,4
13,Israel,Middle East and North Africa,14,7.128600121,-1.3387162909904453,-0.1882869130736037,-1.168046779991748,3
14,Costa Rica,Latin America and Caribbean,15,7.121399879,-1.3888848324987082,-0.4159638782294276,-1.960094248454138,3
15,Ireland,Western Europe,16,7.093699932,-2.9159148935515034,1.3589965167756766,0.2197063872062106,4
16,Germany,Western Europe,17,7.075799942,-2.2959232769871076,0.8948068843207709,-0.45072609511752176,4
17,United States,North America and ANZ,18,6.939599991,-1.671607055966687,0.53331345579655,-0.5686228315820303,4
18,Czech Republic,Central and Eastern Europe,19,6.910900116,-1.1467268729817797,-1.7189588210864408,-1.642261606982193,3
19,Belgium,Western Europe,20,6.863500118,-1.8359808815651775,-0.45789166056990116,-0.6478372441309359,3
20,United Arab Emirates,Middle East and North Africa,21,6.790800095,-1.9032345296462116,1.0690304958648573,-0.3212517839712272,4
21,Malta,Western Europe,22,6.772799969,-2.2161983403241905,1.1216115117651129,0.07112004541321476,4
22,France,Western Europe,23,6.663799763,-2.1191869750884686,-0.6894874697593892,-0.17302636118262082,3
23,Mexico,Latin America and Caribbean,24,6.465000153,-0.6882456357363963,-0.9269513088752585,-1.3997343253639956,3
24,Taiwan Province of China,East Asia,25,6.45539999,-1.299981005468296,-0.8315070992788832,-0.3103367344983033,3
25,Uruguay,Latin America and Caribbean,26,6.440100193,-1.5726570247613794,-0.22701348928537785,-0.48478720997511865,3
26,Saudi Arabia,Middle East and North Africa,27,6.406499863,-1.3252252479267363,-0.8033653649339231,-0.5227379680357561,3
27,Spain,Western Europe,28,6.400899887,-1.5105244574399062,-0.9896331733036113,-0.0076082421486623995,3
28,Guatemala,Latin America and Caribbean,29,6.398900032,-0.19147046282419478,0.22224378658073202,-1.7860101031793065,3
29,Italy,Western Europe,30,6.38740015,-0.8582919161187369,-1.4164078244055665,-0.3757174088626573,3
30,Singapore,Southeast Asia,31,6.377099991,-3.7767021900401585,1.4017279835611134,1.9919806183917883,4
