,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
57,Bolivia,Latin America and Caribbean,58,5.822999954,0.06632146366468988,-0.18608056597360115,1.3973602494935815,0
58,Turkmenistan,Central and Eastern Europe,59,5.822000027,-0.9129773034171224,0.42431626453670634,0.09238169861792138,4
59,Kazakhstan,Central and Eastern Europe,60,5.818999767,-0.8046664426671205,-0.5385811124145016,-0.2715930559603333,4
60,North Cyprus,Western Europe,61,5.809999943,-1.2872926940260654,0.0029573206513262853,-0.7324719815159265,4
61,Slovenia,Central and Eastern Europe,62,5.757999897,-1.4771376068224147,-0.3808107389068878,-1.1454558790711524,4
62,Peru,Latin America and Caribbean,63,5.715000153,-0.03717003910026554,-1.1506670436860973,0.5678851453378149,0
63,Mauritius,Sub-Saharan Africa,64,5.629000187,-0.5110371421249316,0.2498294617420917,-0.36392811176130885,4
64,Cyprus,Western Europe,65,5.620999813,-0.5554481042791275,-0.7412796458441442,-0.9318510311795336,4
65,Estonia,Central and Eastern Europe,66,5.611000061,-1.365556956892631,-0.6466773255923425,-1.0171184258518502,4
66,Belarus,Central and Eastern Europe,67,5.568999767,-0.5094661253233663,-0.9033480913198301,-0.5770564508864181,4
67,Libya,Middle East and Northern Africa,68,5.525000095,-0.3021799690744631,-0.6313950230364899,-0.031237278179367407,4
68,Turkey,Middle East and Northern Africa,69,5.5,-0.11621985570513133,-1.6989534355812217,-0.3453173765604032,4
69,Paraguay,Latin America and Caribbean,70,5.493000031,-0.5367287140754893,-0.2494269470853228,-0.29069869706166757,4
70,Hong Kong,Eastern Asia,71,5.472000122,-2.421706437327803,1.3863852629224938,-2.54995818012991,2
71,Philippines,Southeastern Asia,72,5.429999828,-0.12127308885128395,0.0971678780190533,0.5967320836124278,0
72,Serbia,Central and Eastern Europe,73,5.394999981,0.39922173355858265,-1.2057646884213165,-0.3759926575534217,4
73,Jordan,Middle East and Northern Africa,74,5.335999966,-0.13322759183585112,-0.4304684812117756,-0.1475496830054041,4
74,Hungary,Central and Eastern Europe,75,5.323999882,0.18524041910612574,-2.126478796680467,-1.0057864374005394,4
75,Jamaica,Latin America and Caribbean,76,5.31099987,-0.3180329554283926,-0.2710471999498334,-0.4738097553929214,4
76,Croatia,Central and Eastern Europe,77,5.293000221,0.42656357309669096,-0.8371744470241889,-0.4973470562623808,4
77,Kosovo,Central and Eastern Europe,78,5.278999805,0.6660332748233352,-0.27144988916476576,-0.002599639879469521,4
