,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Denmark,Western Europe,1,7.526,2.73939,3.4005600000000005,1.38565,2
1,Switzerland,Western Europe,2,7.509,2.69463,3.5356000000000005,1.2784300000000002,2
2,Iceland,Western Europe,3,7.501,2.83137,3.4772499999999997,1.1927699999999999,2
3,Norway,Western Europe,4,7.498,2.66465,3.5001300000000004,1.3328000000000002,2
4,Finland,Western Europe,5,7.413,2.82596,3.3515300000000003,1.236,2
5,Canada,North America,6,7.404,2.70485,3.36385,1.33533,2
6,Netherlands,Western Europe,7,7.339,2.70749,3.3061100000000003,1.3255400000000002,2
7,New Zealand,Australia and New Zealand,8,7.334,2.47553,3.3644,1.49452,2
8,Australia,Australia and New Zealand,9,7.313,2.5465,3.4003900000000002,1.36575,2
9,Sweden,Western Europe,10,7.291,2.54734,3.37066,1.37339,2
10,Israel,Middle East and Northern Africa,11,7.267,3.31029,3.1822,0.7744800000000001,1
11,Austria,Western Europe,12,7.119,2.69343,3.33986,1.08568,2
12,United States,North America,13,7.104,2.72782,3.33478,1.04108,2
13,Costa Rica,Latin America and Caribbean,14,7.087,3.35168,2.8517699999999997,0.88325,1
14,Puerto Rico,Latin America and Caribbean,15,7.039,3.0076,3.2181399999999996,0.813,2
15,Germany,Western Europe,16,6.994,2.50931,3.36048,1.1246900000000002,2
16,Brazil,Latin America and Caribbean,17,6.952,3.50733,2.74107,0.70367,1
17,Belgium,Western Europe,18,6.929,2.61355,3.2974699999999997,1.0184199999999999,2
18,Ireland,Western Europe,19,6.907,2.15988,3.45953,1.28725,2
19,Luxembourg,Western Europe,20,6.871,2.11055,3.5829299999999997,1.1777,2
20,Mexico,Latin America and Caribbean,21,6.778,3.55906,2.54111,0.67799,1
21,Singapore,Southeastern Asia,22,6.739,1.99375,3.4603200000000003,1.28463,2
22,United Kingdom,Western Europe,23,6.725,2.14999,3.29946,1.27591,2
23,Chile,Latin America and Caribbean,24,6.705,2.95505,2.9414,0.80835,1
24,Panama,Latin America and Caribbean,25,6.701,3.00559,2.8805300000000003,0.8153,1
25,Argentina,Latin America and Caribbean,26,6.65,3.12985,2.9145999999999996,0.6056900000000001,1
26,Czech Republic,Central and Eastern Europe,27,6.596,2.96211,3.08084,0.55333,1
27,United Arab Emirates,Middle East and Northern Africa,28,6.573,2.21507,3.17459,1.18367,2
28,Uruguay,Latin America and Caribbean,29,6.545,2.67139,2.93483,0.93838,2
29,Malta,Western Europe,30,6.488,1.99032,3.2097599999999997,1.2878500000000002,2
30,Colombia,Latin America and Caribbean,31,6.481,3.17471,2.6486,0.6576,1
31,France,Western Europe,32,6.478,2.4744,3.2379100000000003,0.7653,2
32,Thailand,Southeastern Asia,33,6.474,2.5796,2.78322,1.11082,2
33,Saudi Arabia,Middle East and Northern Africa,34,6.379,2.61482,2.93049,0.8336899999999999,2
34,Taiwan,Eastern Asia,34,6.379,2.61523,3.11918,0.64502,2
35,Qatar,Middle East and Northern Africa,36,6.375,1.58224,3.4211400000000003,1.37116,2
36,Spain,Western Europe,37,6.361,2.39663,3.3509400000000005,0.61347,2
37,Algeria,Middle East and Northern Africa,38,6.355,3.40904,2.50379,0.44207,1
38,Guatemala,Latin America and Caribbean,39,6.324,3.19863,2.24612,0.87888,1
39,Suriname,Latin America and Caribbean,40,6.269,3.06852,2.3848499999999997,0.81591,1
40,Kuwait,Middle East and Northern Africa,41,6.239,2.28085,3.13041,0.828,2
41,Bahrain,Middle East and Northern Africa,42,6.218,2.27405,3.04117,0.9029400000000001,2
42,Trinidad and Tobago,Latin America and Caribbean,43,6.168,2.51394,2.83749,0.81629,3
43,Venezuela,Latin America and Caribbean,44,6.084,2.97468,2.78573,0.32401,1
44,Slovakia,Central and Eastern Europe,45,6.078,2.61065,3.0660800000000004,0.40175,3
45,El Salvador,Latin America and Caribbean,46,6.068,3.22134,2.27945,0.56759,1
46,Malaysia,Southeastern Asia,47,6.005,2.35384,2.75533,0.89586,3
47,Nicaragua,Latin America and Caribbean,48,5.992,2.82428,2.24118,0.9264700000000001,1
48,Uzbekistan,Central and Eastern Europe,49,5.987,2.34638,2.40564,1.23507,3
49,Italy,Western Europe,50,5.977,2.34918,3.2476400000000005,0.38066999999999995,3
50,Ecuador,Latin America and Caribbean,51,5.976,2.77366,2.51893,0.68381,1
51,Belize,Latin America and Caribbean,52,5.956,3.08039,2.0184,0.85686,1
52,Japan,Eastern Asia,53,5.921,1.80584,3.35552,0.7597,3
