,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
62,Paraguay,Latin America and Caribbean,63,5.743,1.858,3.107,0.778,3
63,North Cyprus,Western Europe,64,5.718,1.391,3.5569999999999995,0.77,1
64,Peru,Latin America and Caribbean,65,5.697,2.044,3.088,0.5650000000000001,3
65,Portugal,Western Europe,66,5.693,1.462,3.6510000000000002,0.5800000000000001,1
66,Pakistan,Southern Asia,67,5.653,2.924,2.0980000000000003,0.631,0
67,Russia,Central and Eastern Europe,68,5.648,1.84,3.3609999999999998,0.447,3
68,Philippines,Southeastern Asia,69,5.631,2.092,2.757,0.782,3
69,Serbia,Central and Eastern Europe,70,5.603,1.904,3.241,0.45799999999999996,3
70,Moldova,Central and Eastern Europe,71,5.529,2.351,2.752,0.426,3
71,Libya,Middle East and Northern Africa,72,5.525,1.804,3.02,0.701,1
72,Montenegro,Central and Eastern Europe,73,5.523,1.821,3.283,0.41900000000000004,3
73,Tajikistan,Central and Eastern Europe,74,5.467,2.395,2.309,0.763,0
74,Croatia,Central and Eastern Europe,75,5.432,1.66,3.3350000000000004,0.437,1
75,Hong Kong,Eastern Asia,76,5.43,0.608,3.8369999999999997,0.985,1
76,Dominican Republic,Latin America and Caribbean,77,5.425,1.519,3.195,0.711,1
77,Bosnia and Herzegovina,Central and Eastern Europe,78,5.386,1.903,3.002,0.481,3
78,Turkey,Middle East and Northern Africa,79,5.373,1.638,3.351,0.384,1
79,Malaysia,Southeastern Asia,80,5.339,1.327,3.22,0.792,1
80,Belarus,Central and Eastern Europe,81,5.323,1.531,3.321,0.471,1
81,Greece,Western Europe,82,5.287,1.85,3.336,0.101,3
82,Mongolia,Eastern Asia,83,5.285,1.549,3.146,0.59,1
83,North Macedonia,?,84,5.274,1.595,3.115,0.5640000000000001,1
84,Nigeria,Sub-Saharan Africa,85,5.265,2.531,2.052,0.6819999999999999,0
85,Kyrgyzstan,Central and Eastern Europe,86,5.261,1.718,2.7119999999999997,0.831,1
86,Turkmenistan,Central and Eastern Europe,87,5.247,1.334,3.247,0.666,1
87,Algeria,Middle East and Northern Africa,88,5.211,1.991,2.947,0.273,3
88,Morocco,Middle East and Northern Africa,89,5.208,2.313,2.365,0.53,0
89,Azerbaijan,Central and Eastern Europe,90,5.208,1.681,2.959,0.568,1
90,Lebanon,Middle East and Northern Africa,91,5.197,1.762,3.026,0.40900000000000003,1
91,Indonesia,Southeastern Asia,92,5.192,1.381,2.7940000000000005,1.017,1
92,China,Eastern Asia,93,5.191,1.465,3.0469999999999997,0.679,1
93,Vietnam,Southeastern Asia,94,5.175,1.474,2.938,0.763,1
94,Bhutan,Southern Asia,95,5.082,1.35,2.738,0.994,1
95,Cameroon,Sub-Saharan Africa,96,5.044,2.649,1.79,0.605,0
96,Bulgaria,Central and Eastern Europe,97,5.011,1.195,3.42,0.396,1
97,Ghana,Sub-Saharan Africa,98,4.996,2.365,1.965,0.6659999999999999,0
98,Ivory Coast,Sub-Saharan Africa,99,4.944,2.739,1.609,0.596,0
99,Nepal,Southern Asia,100,4.913,1.751,2.349,0.813,4
100,Jordan,Middle East and Northern Africa,101,4.906,1.406,2.8770000000000002,0.623,1
101,Benin,Sub-Saharan Africa,102,4.883,3.05,1.227,0.606,0
102,Congo (Brazzaville),Sub-Saharan Africa,103,4.812,2.262,1.98,0.57,0
103,Gabon,Sub-Saharan Africa,104,4.799,1.595,2.811,0.39299999999999996,1
104,Laos,Southeastern Asia,105,4.796,1.474,2.345,0.9770000000000001,4
105,South Africa,Sub-Saharan Africa,106,4.722,1.368,2.78,0.5740000000000001,1
106,Albania,Central and Eastern Europe,107,4.719,1.462,2.669,0.5880000000000001,1
107,Venezuela,Latin America and Caribbean,108,4.707,1.25,3.192,0.265,1
108,Cambodia,Southeastern Asia,109,4.7,1.464,2.333,0.903,4
109,Palestinian Territories,Middle East and Northern Africa,110,4.696,1.726,2.576,0.394,1
110,Senegal,Sub-Saharan Africa,111,4.681,2.009,2.155,0.517,4
111,Somalia,?,112,4.668,2.63,0.966,1.072,0
112,Namibia,?,113,4.639,1.443,2.669,0.527,1
113,Niger,Sub-Saharan Africa,114,4.628,2.742,1.278,0.608,0
114,Burkina Faso,Sub-Saharan Africa,115,4.587,2.275,1.767,0.5449999999999999,0
115,Armenia,Central and Eastern Europe,116,4.559,1.397,2.7199999999999998,0.44199999999999995,1
116,Iran,Middle East and Northern Africa,117,4.548,1.121,2.7270000000000003,0.7,1
117,Guinea,Sub-Saharan Africa,118,4.534,2.325,1.584,0.625,0
118,Georgia,Central and Eastern Europe,119,4.519,1.662,2.3040000000000003,0.553,4
119,Gambia,?,120,4.516,2.023,1.6749999999999998,0.8180000000000001,0
120,Kenya,Sub-Saharan Africa,121,4.509,1.577,2.076,0.856,4
121,Mauritania,Sub-Saharan Africa,122,4.49,2.004,2.226,0.26,4
122,Mozambique,Sub-Saharan Africa,123,4.466,2.057,1.58,0.829,0
123,Tunisia,Middle East and Northern Africa,124,4.461,1.444,2.7359999999999998,0.281,1
124,Bangladesh,Southern Asia,125,4.456,1.407,2.213,0.8360000000000001,4
125,Iraq,Middle East and Northern Africa,126,4.437,1.362,2.5969999999999995,0.478,1
126,Congo (Kinshasa),Sub-Saharan Africa,127,4.418,2.308,1.576,0.534,0
127,Mali,Sub-Saharan Africa,128,4.39,2.06,1.798,0.532,0
128,Sierra Leone,Sub-Saharan Africa,129,4.374,2.417,1.351,0.606,0
129,Sri Lanka,Southern Asia,130,4.366,0.56,3.045,0.761,1
130,Myanmar,Southeastern Asia,131,4.36,0.651,2.446,1.263,4
131,Chad,Sub-Saharan Africa,132,4.35,2.592,1.308,0.45,0
132,Ukraine,Central and Eastern Europe,133,4.332,1.008,2.949,0.375,1
133,Ethiopia,Sub-Saharan Africa,134,4.286,1.732,1.901,0.6529999999999999,4
134,Swaziland,Sub-Saharan Africa,135,4.212,1.73,1.96,0.522,4
135,Uganda,Sub-Saharan Africa,136,4.189,1.677,1.844,0.6679999999999999,4
136,Egypt,Middle East and Northern Africa,137,4.166,1.186,2.596,0.384,1
137,Zambia,Sub-Saharan Africa,138,4.107,1.28,2.0620000000000003,0.765,4
138,Togo,Sub-Saharan Africa,139,4.085,2.273,1.257,0.5549999999999999,0
139,India,Southern Asia,140,4.015,1.124,2.108,0.7829999999999999,4
140,Liberia,Sub-Saharan Africa,141,3.975,1.901,1.438,0.636,0
141,Comoros,Sub-Saharan Africa,142,3.973,1.942,1.536,0.495,0
142,Madagascar,Sub-Saharan Africa,143,3.933,1.83,1.745,0.358,4
143,Lesotho,Sub-Saharan Africa,144,3.802,1.417,1.8259999999999998,0.5589999999999999,4
144,Burundi,Sub-Saharan Africa,145,3.775,2.326,0.873,0.5760000000000001,0
145,Zimbabwe,Sub-Saharan Africa,146,3.663,1.149,1.913,0.601,4
146,Haiti,Latin America and Caribbean,147,3.597,1.582,1.46,0.5549999999999999,4
147,Botswana,Sub-Saharan Africa,148,3.488,0.184,2.724,0.5800000000000001,1
148,Syria,Middle East and Northern Africa,149,3.462,1.54,1.437,0.485,4
149,Malawi,Sub-Saharan Africa,150,3.41,1.414,1.246,0.75,4
150,Yemen,Middle East and Northern Africa,151,3.38,1.139,1.913,0.32799999999999996,4
151,Rwanda,Sub-Saharan Africa,152,3.334,0.467,1.6839999999999997,1.183,4
152,Tanzania,Sub-Saharan Africa,153,3.231,0.531,1.8599999999999999,0.84,4
153,Afghanistan,Southern Asia,154,3.203,1.792,1.228,0.183,0
154,Central African Republic,Sub-Saharan Africa,155,3.083,2.457,0.131,0.495,0
155,South Sudan,?,156,2.853,1.374,1.176,0.303,4
