,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Finland,Western Europe,1,7.769,2.714,3.9130000000000003,1.142,2
1,Denmark,Western Europe,2,7.6,2.394,3.952,1.254,2
2,Norway,Western Europe,3,7.554,2.241,4.098000000000001,1.2149999999999999,2
3,Iceland,Western Europe,4,7.494,2.401,4.03,1.063,2
4,Netherlands,Western Europe,5,7.488,2.394,3.9170000000000003,1.177,2
5,Switzerland,Western Europe,6,7.48,2.272,4.029999999999999,1.178,2
6,Sweden,Western Europe,7,7.343,2.246,3.883,1.214,2
7,New Zealand,Australia and New Zealand,8,7.307,2.126,3.886,1.295,2
8,Canada,North America,9,7.278,2.192,3.909,1.1769999999999998,2
9,Austria,Western Europe,10,7.246,2.377,3.867,1.002,2
10,Australia,Australia and New Zealand,11,7.228,2.093,3.956,1.179,2
11,Costa Rica,Latin America and Caribbean,12,7.167,2.934,3.438,0.795,3
12,Israel,Middle East and Northern Africa,13,7.139,2.665,3.76,0.714,3
13,Luxembourg,Western Europe,14,7.09,1.954,4.1,1.036,2
14,United Kingdom,Western Europe,15,7.054,2.111,3.867,1.076,2
15,Ireland,Western Europe,16,7.021,1.846,4.051,1.124,2
16,Germany,Western Europe,17,6.985,2.15,3.814,1.021,2
17,Belgium,Western Europe,18,6.923,2.234,3.846,0.843,2
18,United States,North America,19,6.892,2.266,3.7640000000000002,0.8620000000000001,2
19,Czech Republic,Central and Eastern Europe,20,6.852,2.637,3.676,0.539,3
20,United Arab Emirates,Middle East and Northern Africa,21,6.825,2.145,3.638,1.042,2
21,Malta,Western Europe,22,6.726,1.817,3.8190000000000004,1.0899999999999999,2
22,Mexico,Latin America and Caribbean,23,6.595,2.761,3.2539999999999996,0.58,3
23,France,Western Europe,24,6.592,2.021,3.841,0.73,2
24,Taiwan,Eastern Asia,25,6.446,2.044,3.712,0.69,2
25,Chile,Latin America and Caribbean,26,6.444,2.396,3.448,0.6,3
26,Guatemala,Latin America and Caribbean,27,6.436,2.833,2.815,0.788,3
27,Saudi Arabia,Middle East and Northern Africa,28,6.375,2.169,3.5549999999999997,0.6509999999999999,3
28,Qatar,Middle East and Northern Africa,29,6.374,1.564,3.868,0.9420000000000001,2
29,Spain,Western Europe,30,6.354,1.928,3.832,0.594,2
30,Panama,Latin America and Caribbean,31,6.321,2.141,3.5010000000000003,0.679,3
31,Brazil,Latin America and Caribbean,32,6.3,2.48,3.245,0.575,3
32,Uruguay,Latin America and Caribbean,33,6.293,2.013,3.4800000000000004,0.8,3
33,Singapore,Southeastern Asia,34,6.262,0.806,4.176,1.2800000000000002,2
34,El Salvador,Latin America and Caribbean,35,6.253,2.831,2.825,0.597,3
35,Italy,Western Europe,36,6.223,1.983,3.8209999999999997,0.41900000000000004,2
36,Bahrain,Middle East and Northern Africa,37,6.199,1.697,3.6010000000000004,0.901,2
37,Slovakia,Central and Eastern Europe,38,6.198,2.098,3.6310000000000002,0.46900000000000003,3
38,Trinidad and Tobago,Latin America and Caribbean,39,6.192,2.081,3.4210000000000003,0.69,3
39,Poland,Central and Eastern Europe,40,6.182,2.004,3.528,0.65,3
40,Uzbekistan,Central and Eastern Europe,41,6.174,1.951,3.0300000000000002,1.193,3
41,Lithuania,Central and Eastern Europe,42,6.149,2.202,3.571,0.37599999999999995,3
42,Colombia,Latin America and Caribbean,43,6.125,2.286,3.2359999999999998,0.603,3
43,Slovenia,Central and Eastern Europe,44,6.118,1.619,3.7339999999999995,0.765,2
44,Nicaragua,Latin America and Caribbean,45,6.105,2.489,2.854,0.762,3
45,Kosovo,Central and Eastern Europe,46,6.1,2.471,2.872,0.757,3
46,Argentina,Latin America and Caribbean,47,6.086,2.094,3.4050000000000002,0.587,3
47,Romania,Central and Eastern Europe,48,6.07,2.301,3.2190000000000003,0.55,3
48,Cyprus,Western Europe,49,6.046,1.881,3.5279999999999996,0.637,3
49,Ecuador,Latin America and Caribbean,50,6.028,2.225,3.092,0.711,3
50,Kuwait,Middle East and Northern Africa,51,6.021,1.662,3.627,0.732,2
51,Thailand,Southeastern Asia,52,6.008,1.777,3.287,0.9440000000000001,3
52,Latvia,Central and Eastern Europe,53,5.94,2.073,3.4640000000000004,0.403,3
53,South Korea,Eastern Asia,54,5.895,1.949,3.556,0.39,3
54,Estonia,Central and Eastern Europe,55,5.893,1.495,3.6390000000000002,0.759,2
55,Jamaica,Latin America and Caribbean,56,5.89,2.125,3.14,0.625,3
56,Mauritius,Sub-Saharan Africa,57,5.888,1.795,3.3200000000000003,0.773,3
57,Japan,Eastern Asia,58,5.886,1.398,3.834,0.6539999999999999,2
58,Honduras,Latin America and Caribbean,59,5.86,2.323,2.706,0.831,3
59,Kazakhstan,Central and Eastern Europe,60,5.809,1.747,3.41,0.652,3
60,Bolivia,Latin America and Caribbean,61,5.779,2.376,2.691,0.712,3
61,Hungary,Central and Eastern Europe,62,5.758,2.019,3.4389999999999996,0.3,3
