,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Finland,Western Europe,1,7.842,3.253,3.293,1.2959999999999998,1
1,Denmark,Western Europe,2,7.62,2.868,3.373,1.379,1
2,Switzerland,Western Europe,3,7.571,2.839,3.461,1.27,1
3,Iceland,Western Europe,4,7.554,2.967,3.426,1.161,1
4,Netherlands,Western Europe,5,7.464,2.798,3.333,1.3330000000000002,1
5,Norway,Western Europe,6,7.392,2.58,3.433,1.379,1
6,Sweden,Western Europe,7,7.363,2.683,3.303,1.377,1
7,Luxembourg,Western Europe,8,7.324,2.653,3.5139999999999993,1.158,1
8,New Zealand,North America and ANZ,9,7.277,2.612,3.279,1.3860000000000001,1
9,Austria,Western Europe,10,7.268,2.784,3.3360000000000003,1.147,1
10,Australia,North America and ANZ,11,7.183,2.598,3.33,1.255,1
11,Israel,Middle East and North Africa,12,7.157,3.083,3.2380000000000004,0.836,1
12,Germany,Western Europe,13,7.155,2.824,3.23,1.101,1
13,Canada,North America and ANZ,14,7.103,2.585,3.289,1.229,1
14,Ireland,Western Europe,15,7.085,2.384,3.489,1.2109999999999999,1
15,Costa Rica,Latin America and Caribbean,16,7.069,3.387,2.8219999999999996,0.861,3
16,United Kingdom,Western Europe,17,7.064,2.596,3.2420000000000004,1.226,1
17,Czech Republic,Central and Eastern Europe,18,6.965,3.124,3.163,0.678,1
18,United States,North America and ANZ,19,6.951,2.807,3.1839999999999997,0.9600000000000001,1
19,Belgium,Western Europe,20,6.834,2.862,3.208,0.7639999999999999,1
20,France,Western Europe,21,6.69,2.521,3.306,0.863,1
21,Bahrain,Middle East and North Africa,22,6.647,2.631,2.9699999999999998,1.046,1
22,Malta,Western Europe,23,6.602,2.268,3.213,1.1219999999999999,1
23,Taiwan Province of China,East Asia,24,6.584,2.687,3.127,0.771,1
24,United Arab Emirates,Middle East and North Africa,25,6.561,2.422,3.009,1.129,1
25,Saudi Arabia,Middle East and North Africa,26,6.494,2.668,2.9699999999999998,0.856,1
26,Spain,Western Europe,27,6.491,2.513,3.258,0.7210000000000001,1
27,Italy,Western Europe,28,6.483,2.794,3.1310000000000002,0.5589999999999999,1
28,Slovenia,Central and Eastern Europe,29,6.461,2.388,3.1750000000000003,0.8969999999999999,1
29,Guatemala,Latin America and Caribbean,30,6.435,3.375,2.154,0.906,3
30,Uruguay,Latin America and Caribbean,31,6.431,2.6,2.855,0.976,1
31,Singapore,Southeast Asia,32,6.377,1.379,3.6109999999999998,1.387,1
32,Kosovo,Central and Eastern Europe,33,6.372,3.182,2.2270000000000003,0.963,3
33,Slovakia,Central and Eastern Europe,34,6.331,2.714,3.023,0.5930000000000001,1
34,Brazil,Latin America and Caribbean,35,6.33,3.015,2.543,0.773,3
35,Mexico,Latin America and Caribbean,36,6.317,2.961,2.59,0.7659999999999999,3
36,Jamaica,Latin America and Caribbean,37,6.309,3.135,2.4219999999999997,0.752,3
37,Lithuania,Central and Eastern Europe,38,6.255,2.624,3.027,0.605,1
38,Cyprus,Western Europe,39,6.223,2.578,2.943,0.7030000000000001,1
39,Estonia,Central and Eastern Europe,40,6.189,2.103,3.063,1.0230000000000001,1
40,Panama,Latin America and Caribbean,41,6.18,2.509,2.941,0.728,1
41,Uzbekistan,Commonwealth of Independent States,42,6.179,2.477,2.324,1.3780000000000001,3
42,Chile,Latin America and Caribbean,43,6.172,2.682,2.824,0.667,1
43,Poland,Central and Eastern Europe,44,6.166,2.438,2.959,0.768,1
44,Kazakhstan,Commonwealth of Independent States,45,6.152,2.446,2.8600000000000003,0.848,1
45,Romania,Central and Eastern Europe,46,6.14,2.83,2.702,0.61,3
46,Kuwait,Middle East and North Africa,47,6.106,2.368,2.898,0.841,1
47,Serbia,Central and Eastern Europe,48,6.078,2.682,2.659,0.7370000000000001,3
48,El Salvador,Latin America and Caribbean,49,6.061,3.085,2.085,0.891,3
49,Mauritius,Sub-Saharan Africa,50,6.049,2.462,2.7479999999999998,0.839,1
50,Latvia,Central and Eastern Europe,51,6.032,2.536,2.9189999999999996,0.576,1
51,Colombia,Latin America and Caribbean,52,6.012,2.794,2.502,0.717,3
52,Hungary,Central and Eastern Europe,53,5.992,2.432,2.9989999999999997,0.5609999999999999,1
53,Thailand,Southeast Asia,54,5.985,2.309,2.66,1.014,4
54,Nicaragua,Latin America and Caribbean,55,5.972,2.841,2.201,0.9300000000000002,3
55,Japan,East Asia,56,5.94,2.048,3.176,0.716,1
56,Argentina,Latin America and Caribbean,57,5.929,2.461,2.788,0.6799999999999999,1
57,Portugal,Western Europe,58,5.929,2.225,3.0220000000000002,0.683,1
58,Honduras,Latin America and Caribbean,59,5.919,2.934,2.083,0.9019999999999999,3
59,Croatia,Central and Eastern Europe,60,5.882,2.325,2.993,0.5640000000000001,1
60,Philippines,Southeast Asia,61,5.88,2.872,2.107,0.902,3
