,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Finland,Western Europe,1,7.808700085,2.762835026,3.7459868189999996,1.2998444439999999,2
1,Denmark,Western Europe,2,7.645599842,2.432740688,3.8097302920000002,1.403093621,2
2,Switzerland,Western Europe,3,7.559899807,2.35026741,3.9037108419999997,1.305956125,2
3,Iceland,Western Europe,4,7.504499912,2.460688114,3.8749125010000003,1.168851748,2
4,Norway,Western Europe,5,7.487999916,2.168266296,3.92745173,1.392286538,2
5,Netherlands,Western Europe,6,7.448900223,2.352117062,3.778267621,1.3185138109999999,2
6,Sweden,Western Europe,7,7.353499889,2.246299267,3.74205339,1.3651919650000002,2
7,New Zealand,North America and ANZ,8,7.299600124,2.128108025,3.737674594,1.433784395,2
8,Austria,Western Europe,9,7.294199944,2.398446083,3.755663991,1.140134781,2
9,Luxembourg,Western Europe,10,7.237500191,2.153700352,3.910647153,1.173132434,2
10,Canada,North America and ANZ,11,7.23210001,2.195269108,3.759541511,1.277258903,2
11,Australia,North America and ANZ,12,7.222799778,2.129804134,3.810150385,1.282847225,2
12,United Kingdom,Western Europe,13,7.164500237,2.236721992,3.70660609,1.221203744,2
13,Israel,Middle East and North Africa,14,7.128600121,2.713358402,3.627773404,0.787459723,2
14,Costa Rica,Latin America and Caribbean,15,7.121399879,2.953135014,3.295596659,0.872646146,3
15,Ireland,Western Europe,16,7.093699932,1.943878174,3.893153906,1.2566401960000002,2
16,Germany,Western Europe,17,7.075799942,2.295249462,3.654843091,1.125674128,2
17,United States,North America and ANZ,18,6.939599991,2.344124794,3.610391557,0.985036045,2
18,Czech Republic,Central and Eastern Europe,19,6.910900116,2.796808243,3.512173474,0.6018737279999999,2
19,Belgium,Western Europe,20,6.863500118,2.348626614,3.659421504,0.855495632,2
20,United Arab Emirates,Middle East and North Africa,21,6.790800095,2.166965961,3.470071852,1.153805599,2
21,Malta,Western Europe,22,6.772799969,1.952012062,3.667512237,1.153283939,2
22,France,Western Europe,23,6.663799763,2.053198338,3.7566827540000003,0.8539618409999999,2
23,Mexico,Latin America and Caribbean,24,6.465000153,2.662540197,3.0823220020000006,0.7201207059999999,3
24,Taiwan Province of China,East Asia,25,6.45539999,2.160238743,3.5636692050000005,0.7315194460000001,2
25,Uruguay,Latin America and Caribbean,26,6.440100193,2.167276382,3.353010476,0.919835835,2
26,Saudi Arabia,Middle East and North Africa,27,6.406499863,2.203118801,3.404096782,0.7992404700000001,2
27,Spain,Western Europe,28,6.400899887,1.997088432,3.702977538,0.7008690750000001,2
28,Guatemala,Latin America and Caribbean,29,6.398900032,2.882723093,2.63403535,0.882118687,3
29,Italy,Western Europe,30,6.38740015,2.249505997,3.606197,0.5317173820000001,2
30,Singapore,Southeast Asia,31,6.377099991,0.937031746,4.052851319,1.387250348,2
31,Brazil,Latin America and Caribbean,32,6.375599861,2.571860313,3.082263053,0.721485921,3
32,Slovenia,Central and Eastern Europe,33,6.363399982,1.888586521,3.605878233,0.868917965,2
33,El Salvador,Latin America and Caribbean,34,6.34829998,2.937191725,2.651068032,0.76001057,3
34,Kosovo,Central and Eastern Europe,35,6.325200081,2.736902714,2.69715333,0.89112631,3
35,Panama,Latin America and Caribbean,36,6.304800034,2.221176147,3.3523636459999997,0.731287614,2
36,Slovakia,Central and Eastern Europe,37,6.280600071,2.256422043,3.472634136,0.551563744,2
37,Uzbekistan,Commonwealth of Independent States,38,6.257599831,2.073346615,2.847376704,1.3368416140000001,3
38,Chile,Latin America and Caribbean,39,6.228499889,2.283012867,3.3095402119999995,0.635910578,2
39,Bahrain,Middle East and North Africa,40,6.227300167,1.751917362,3.4508523340000004,1.0245508700000001,2
40,Lithuania,Central and Eastern Europe,41,6.215499878,2.238146067,3.4218465690000004,0.555502105,2
41,Trinidad and Tobago,Latin America and Caribbean,42,6.191899776,2.190695763,3.233796299,0.7673677810000001,2
42,Poland,Central and Eastern Europe,43,6.186299801,2.056797981,3.3476673969999995,0.781819023,2
43,Colombia,Latin America and Caribbean,44,6.163400173,2.421656609,3.0766748190000004,0.6651125029999999,3
44,Cyprus,Western Europe,45,6.15899992,2.032334805,3.3880947829999997,0.73852535,2
45,Nicaragua,Latin America and Caribbean,46,6.13710022,2.496081114,2.69393915,0.947073355,3
46,Romania,Central and Eastern Europe,47,6.123700142,2.412749767,3.1071345810000004,0.6038635139999999,3
