,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Norway,Western Europe,1,7.537000179,2.277026653,3.946653247,1.313398659,1
1,Denmark,Western Europe,2,7.521999836,2.313707352,3.8260701310000003,1.382057279,1
2,Iceland,Western Europe,3,7.504000187,2.322715282,3.9247591490000002,1.256229415,1
3,Switzerland,Western Europe,4,7.493999958,2.276716232,3.940022587,1.27762714,1
4,Finland,Western Europe,5,7.468999863,2.430181503,3.79297632,1.246045173,1
5,Netherlands,Western Europe,6,7.376999855,2.294804096,3.743579983,1.338536143,1
6,Canada,North America,7,7.315999985,2.187264442,3.795111059,1.33401215,1
7,New Zealand,Australia and New Zealand,8,7.31400013,2.046456337,3.770660878,1.496883958,1
8,Sweden,Western Europe,9,7.28399992,2.097537994,3.8034245959999997,1.38272208,1
9,Australia,Australia and New Zealand,10,7.28399992,2.065210819,3.8383436800000004,1.380490362,1
10,Israel,Middle East and Northern Africa,11,7.212999821,2.801757336,3.5900763870000003,0.8213133589999999,2
11,Costa Rica,Latin America and Caribbean,12,7.078999996,2.898639202,3.285619199,0.894851468,2
12,Austria,Western Europe,13,7.006000042,2.138506413,3.762370645,1.105298877,1
13,United States,North America,14,6.993000031,2.218113422,3.7404664760000004,1.0339580920000002,1
14,Ireland,Western Europe,15,6.977000237,1.773869038,3.903720378,1.299356818,1
15,Germany,Western Europe,16,6.951000214,2.015769958,3.759394467,1.175512492,1
16,Belgium,Western Europe,17,6.890999794,2.124210358,3.744185328,1.022617191,1
17,Luxembourg,Western Europe,18,6.862999916,1.619512081,4.044616759,1.198643297,1
18,United Kingdom,Western Europe,19,6.714000225,1.704143524,3.743429959,1.266392261,1
19,Chile,Latin America and Caribbean,20,6.65199995,2.509585857,3.356289268,0.7858456819999999,2
20,United Arab Emirates,Middle East and Northern Africa,21,6.647999763,1.734703541,3.619551837,1.293776781,1
21,Brazil,Latin America and Caribbean,22,6.635000229,2.769267082,3.155211568,0.710896403,2
22,Czech Republic,Central and Eastern Europe,23,6.609000206,2.451861858,3.541011572,0.6159258599999999,2
23,Argentina,Latin America and Caribbean,24,6.598999977,2.614005327,3.3208836919999998,0.663716153,2
24,Mexico,Latin America and Caribbean,25,6.578000069,2.837154865,3.074024976,0.666494556,2
25,Singapore,Southeastern Asia,26,6.572000027,1.216362,3.995584428,1.360114335,1
26,Malta,Western Europe,27,6.52699995,1.556862831,3.653635741,1.316563696,1
27,Uruguay,Latin America and Caribbean,28,6.453999996,2.172409534,3.349004388,0.9325510560000001,2
28,Guatemala,Latin America and Caribbean,29,6.453999996,2.893891096,2.66782713,0.8920222900000001,2
29,Panama,Latin America and Caribbean,30,6.452000141,2.307199955,3.31309712,0.8315676969999999,2
30,France,Western Europe,31,6.441999912,2.005954742,3.663166166,0.772486851,1
31,Thailand,Southeastern Asia,32,6.423999786,2.039508343,3.2009002570000002,1.1839365769999999,1
32,Taiwan,Eastern Asia,33,6.421999931,2.126607418,3.61217612,0.683656298,1
33,Spain,Western Europe,34,6.402999878,1.92775774,3.805449366,0.669828899,1
34,Qatar,Middle East and Northern Africa,35,6.375,1.14546442,3.855160654,1.3739041090000002,1
35,Colombia,Latin America and Caribbean,36,6.356999874,2.616068125,3.067833186,0.6731706300000001,2
36,Saudi Arabia,Middle East and Northern Africa,37,6.343999863,2.065429688,3.407449484,0.870798841,1
37,Trinidad and Tobago,Latin America and Caribbean,38,6.168000221,2.053247452,3.261567712,0.852892021,2
38,Kuwait,Middle East and Northern Africa,39,6.105000019,1.640425205,3.524756909,0.9397869409999999,1
39,Slovakia,Central and Eastern Europe,40,6.09800005,2.097776651,3.5431857109999996,0.456572798,2
40,Bahrain,Middle East and Northern Africa,41,6.086999893,1.656149387,3.464655757,0.9664575760000002,1
41,Malaysia,Southeastern Asia,42,6.084000111,2.004448891,3.194645882,0.88447462,2
42,Nicaragua,Latin America and Caribbean,43,6.071000099,2.513930559,2.677610875,0.8799140460000001,2
43,Ecuador,Latin America and Caribbean,44,6.007999897,2.290352583,2.972625434,0.745445311,2
44,El Salvador,Latin America and Caribbean,45,6.002999783,2.714593887,2.687928141,0.6006914750000001,2
45,Poland,Central and Eastern Europe,46,5.97300005,1.797722816,3.436975181,0.738115885,1
46,Uzbekistan,Central and Eastern Europe,47,5.971000195,1.816913605,2.833682866,1.320760533,4
47,Italy,Western Europe,48,5.964000225,1.813312054,3.693134249,0.457268452,1
48,Russia,Central and Eastern Europe,49,5.962999821,2.205607414,3.29840982,0.459009815,2
49,Belize,Latin America and Caribbean,50,5.955999851,2.631955624,2.439584881,0.884106085,2
50,Japan,Eastern Asia,51,5.920000076,1.363223553,3.7667288780000003,0.7899590509999999,1
51,Lithuania,Central and Eastern Europe,52,5.90199995,2.228440523,3.417048395,0.25626208500000003,2
52,Algeria,Middle East and Northern Africa,53,5.872000217,2.567603827,2.855666578,0.448868565,2
53,Latvia,Central and Eastern Europe,54,5.849999905,1.993655205,3.3040305379999997,0.552625425,2
54,South Korea,Eastern Asia,55,5.837999821,1.880378008,3.43016696,0.527878702,4
55,Moldova,Central and Eastern Europe,56,5.837999821,2.807808399,2.5701614019999997,0.45959946100000004,2
56,Romania,Central and Eastern Europe,57,5.824999809,2.176831484,3.0529335129999997,0.594911561,2
57,Bolivia,Latin America and Caribbean,58,5.822999954,2.443279028,2.535005868,0.844771378,2
58,Turkmenistan,Central and Eastern Europe,59,5.822000027,1.832909822,3.061652004,0.9274672569999999,4
59,Kazakhstan,Central and Eastern Europe,60,5.818999767,1.784892559,3.274966837,0.758701592,4
60,North Cyprus,Western Europe,61,5.809999943,1.549157619,3.3678619260000002,0.89340268,4
61,Slovenia,Central and Eastern Europe,62,5.757999897,1.313317299,3.584553004,0.86035388,1
62,Peru,Latin America and Caribbean,63,5.715000153,2.20726943,2.88416177,0.623871681,2
63,Mauritius,Sub-Saharan Africa,64,5.629000187,1.697583914,3.036963999,0.894362632,4
64,Cyprus,Western Europe,65,5.620999813,1.621249199,3.332016051,0.667603816,4
65,Estonia,Central and Eastern Europe,66,5.611000061,1.357508659,3.4927187560000004,0.761271163,4
66,Belarus,Central and Eastern Europe,67,5.568999767,1.723232985,3.239217043,0.606851593,4
67,Libya,Middle East and Northern Africa,68,5.525000095,1.835011244,2.979536414,0.710417106,4
68,Turkey,Middle East and Northern Africa,69,5.5,1.879277945,3.173633159,0.447105222,4
69,Paraguay,Latin America and Caribbean,70,5.493000031,1.68533349,3.01907289,0.7887243629999999,4
70,Hong Kong,Eastern Asia,71,5.472000122,0.554633141,3.757528186,1.1593681869999999,1
71,Philippines,Southeastern Asia,72,5.429999828,1.972604752,2.5796258450000003,0.87805999,4
72,Serbia,Central and Eastern Europe,73,5.394999981,1.947084427,2.978292047,0.469745193,4
73,Jordan,Middle East and Northern Africa,74,5.335999966,1.791176558,2.834691345,0.710394881,4
74,Hungary,Central and Eastern Europe,75,5.323999882,1.716459274,3.316908479,0.290902118,4
75,Jamaica,Latin America and Caribbean,76,5.31099987,1.612325668,2.9348197569999996,0.763393357,4
76,Croatia,Central and Eastern Europe,77,5.293000221,1.854492426,2.8918277609999996,0.546878379,4
